Time,N,Recur,Promedio_Frecuencia_Proc,Max_Temp,Max_Frecuencia,Tipo_Procesador,Tipo_Memoria,Tipo_Disco,ESTRATEGIA,Nucleos
0.725919,1000,1,30.3333333333333,26.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
0.725919,1000,1,25.1666666666667,26.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
0.827855,1000,2,30.3333333333333,26.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
0.827855,1000,2,19.5,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
1.27523,1000,3,41.6666666666667,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
1.27523,1000,3,41.3333333333333,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
1.27523,1000,3,38.8333333333333,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
2.10216,1500,1,21.5,26.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
2.10216,1500,1,18.6666666666667,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
2.10216,1500,1,33.8333333333333,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
2.10216,1500,1,37.3333333333333,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
2.14492,1500,2,66,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
2.14492,1500,2,41.6666666666667,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
2.14492,1500,2,23.3333333333333,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
2.14492,1500,2,18.5,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.47995,2000,1,20.1666666666667,26.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.47995,2000,1,31.1666666666667,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.47995,2000,1,33.1666666666667,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.47995,2000,1,11.3333333333333,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.47995,2000,1,11,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.47995,2000,1,25.8333333333333,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.47995,2000,1,20,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.47995,2000,1,28.6666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.4375,2000,2,36.3333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.4375,2000,2,16.5,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.4375,2000,2,13.6666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.4375,2000,2,14.8333333333333,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.4375,2000,2,18.3333333333333,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.4375,2000,2,15.5,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.4375,2000,2,13.3333333333333,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.4375,2000,2,18.6666666666667,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.4375,2000,2,19.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.79114,2000,3,28.6666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.79114,2000,3,16.6666666666667,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.79114,2000,3,23,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.79114,2000,3,20.1666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.79114,2000,3,18.1666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.79114,2000,3,16.8333333333333,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.79114,2000,3,21.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.79114,2000,3,17.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
4.79114,2000,3,16.5,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,33.5,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,24.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,23.6666666666667,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,28.6666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,30,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,22.6666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,43.1666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,36.3333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,26.1666666666667,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,23.1666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,30.1666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,31.1666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,23.3333333333333,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,39.1666666666667,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
7.90996,2000,4,37.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,27,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,12,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,18.1666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,15.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,10,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,19.1666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,17,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,11.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,8.5,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,16.6666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,14.1666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,11,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,11.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,15.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,12,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,8.33333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.68568,2500,1,13.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,31.1666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,19.5,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,10.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,22.3333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,16.6666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,10.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,18.1666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,17.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,15.1666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,10.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,17.3333333333333,27,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,15.3333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,12.3333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,11,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,21.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,12.3333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
8.3103,2500,2,11.5,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
14.146,3000,1,29.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
14.146,3000,1,13.6666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
14.146,3000,1,9.5,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
14.146,3000,1,15.6666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
14.146,3000,1,13.6666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
14.146,3000,1,11.3333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
14.146,3000,1,10.8333333333333,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
14.146,3000,1,16.6666666666667,27.5,1479000,Quad-Core ARM(R) Cortex(R)-A57 MPCore,DDR4,Flash eMMC 5.1,CUDA,4
