Time,N,Hilos,Inicio,Fin,Max_Consumo_Memoria,PorCiento_Uso_Memoria,Promedio_PorCiento_Uso_Proc,Max_PorCiento_Uso_Proc,Promedio_Temp,Max_Temp,Promedio_Frecuencia_Proc,Max_Frecuencia,ESTRATEGIA,Tipo_Memoria,Tipo_Disco,Nucleos,Tipo_Procesador
0.966367,1000,1,2023-07-16 20:35:10.933,2023-07-16 20:35:11.899,24332,0,7.9,7.9,42600,43600,3813.795,3819.69,OMP_NO_RECURSIVO,DDR4,HDD,6,Intel(R) Core(TM) i7-8700
0.496922,1000,2,2023-07-16 20:35:11.899,2023-07-16 20:35:12.396,25352,0,12.1,16.3,43266.7,43266.7,3762.77,3773.13,OMP_NO_RECURSIVO,DDR4,HDD,6,Intel(R) Core(TM) i7-8700
0.331131,1000,3,2023-07-16 20:35:12.396,2023-07-16 20:35:12.727,25440,0,20.65,24.5,44266.65,44600,3887.39,3933.33,OMP_NO_RECURSIVO,DDR4,HDD,6,Intel(R) Core(TM) i7-8700
0.246782,1000,4,2023-07-16 20:35:12.727,2023-07-16 20:35:12.974,25452,0,33.4,33.4,44933.3,44933.3,4115.75,4115.75,OMP_NO_RECURSIVO,DDR4,HDD,6,Intel(R) Core(TM) i7-8700
0.170497,1000,6,2023-07-16 20:35:13.170,2023-07-16 20:35:13.340,25472,0,43.8,43.8,45600,45600,4116.66,4116.66,OMP_NO_RECURSIVO,DDR4,HDD,6,Intel(R) Core(TM) i7-8700
0.301577,1000,7,2023-07-16 20:35:13.340,2023-07-16 20:35:13.642,25484,0,55.5,55.5,47266.7,47266.7,4300.23,4300.23,OMP_NO_RECURSIVO,DDR4,HDD,6,Intel(R) Core(TM) i7-8700
0.360003,1000,8,2023-07-16 20:35:13.642,2023-07-16 20:35:14.002,25492,0,54.2,54.2,44600,44600,3872.52,3872.52,OMP_NO_RECURSIVO,DDR4,HDD,6,Intel(R) Core(TM) i7-8700
0.313816,1000,9,2023-07-16 20:35:14.002,2023-07-16 20:35:14.316,25504,0,39.3,39.3,45266.7,45266.7,4213.15,4213.15,OMP_NO_RECURSIVO,DDR4,HDD,6,Intel(R) Core(TM) i7-8700
0.375085,1000,10,2023-07-16 20:35:14.316,2023-07-16 20:35:14.691,25516,0,50.95,52.1,45433.35,45600,4207.96,4299.97,OMP_NO_RECURSIVO,DDR4,HDD,6,Intel(R) Core(TM) i7-8700
0.458223,1000,11,2023-07-16 20:35:14.691,2023-07-16 20:35:15.149,25528,0,78.1,78.1,45600,45600,4300.03,4300.03,OMP_NO_RECURSIVO,DDR4,HDD,6,Intel(R) Core(TM) i7-8700
