Time,N,Recur,Inicio,Fin,Max_Consumo_Memoria,PorCiento_Uso_Memoria,Promedio_PorCiento_Uso_Proc,Max_PorCiento_Uso_Proc,Promedio_Temp,Max_Temp,Promedio_Frecuencia_Proc,Max_Frecuencia,Tipo_Procesador,ESTRATEGIA,Tipo_Memoria,Tipo_Disco
0.85469,1000,1,2023-07-15 19:43:07.865,2023-07-15 19:43:08.719,86360.0,0.0,6.85,7.9,42433.35,44266.7,3707.185,3975.98,Intel(R) Core(TM) i7-8700,SECUENCIAL,DDR4,HDD
0.788358,1000,2,2023-07-15 19:43:08.719,2023-07-15 19:43:09.508,102788.0,0.0,7.05,7.8,44600.0,44933.3,3892.42,3973.84,Intel(R) Core(TM) i7-8700,SECUENCIAL,DDR4,HDD
0.729896,1000,3,2023-07-15 19:43:09.508,2023-07-15 19:43:10.238,106884.0,0.0,7.4,7.4,44100.0,44266.7,3829.525,3841.37,Intel(R) Core(TM) i7-8700,SECUENCIAL,DDR4,HDD
0.828509,1000,1,2023-07-15 19:43:10.238,2023-07-15 19:43:11.066,106696.0,0.0,8.15,8.4,44266.65,44600.0,3842.175,3883.15,Intel(R) Core(TM) i7-8700,SECUENCIAL,DDR4,HDD
0.712825,1000,2,2023-07-15 19:43:11.066,2023-07-15 19:43:11.779,106696.0,0.0,7.9,7.9,44266.65,44600.0,3796.875,3803.82,Intel(R) Core(TM) i7-8700,SECUENCIAL,DDR4,HDD
0.695736,1000,3,2023-07-15 19:43:11.779,2023-07-15 19:43:12.475,109468.0,0.0,7.4,7.4,43600.0,43600.0,3790.64,3790.64,Intel(R) Core(TM) i7-8700,SECUENCIAL,DDR4,HDD
3.013912,1500,1,2023-07-15 19:43:12.479,2023-07-15 19:43:15.493,194008.0,1.0,7.862499999999999,8.4,44350.0125,44933.3,3803.255,4002.78,Intel(R) Core(TM) i7-8700,SECUENCIAL,DDR4,HDD
2.561589,1500,2,2023-07-15 19:43:15.493,2023-07-15 19:43:18.054,215364.0,1.0,8.15,8.4,44516.675,44600.0,3680.275000000001,3804.84,Intel(R) Core(TM) i7-8700,SECUENCIAL,DDR4,HDD
3.054046,1500,1,2023-07-15 19:43:18.054,2023-07-15 19:43:21.108,193712.0,1.0,7.875,8.4,44725.0,45266.7,3857.846250000001,3905.56,Intel(R) Core(TM) i7-8700,SECUENCIAL,DDR4,HDD
2.57238,1500,2,2023-07-15 19:43:21.108,2023-07-15 19:43:23.681,230644.0,1.0,7.657142857142857,8.4,44695.22857142857,44933.3,3803.52,3908.76,Intel(R) Core(TM) i7-8700,SECUENCIAL,DDR4,HDD
7.833825,2000,1,2023-07-15 19:43:23.688,2023-07-15 19:43:31.522,321804.0,2.0,7.875000000000001,8.3,43891.662500000006,44600.0,3853.71375,4001.5,Intel(R) Core(TM) i7-8700,SECUENCIAL,DDR4,HDD
